"Yaş","Gelir","Harcamalar","Kredi_Skoru","İnternet_Aboneliği","Yorum","Puan"
35,52301,25615,659,14,"Beklediğimden daha iyi.",372
43,35141,10881,685,4,"Yine de memnun kaldım.",77
61,43777,11847,670,17,"Beklentilerimin altında.",326
51,68346,16599,630,11,"Hizmet çok iyi, teşekkürler.",275
27,84703,28359,616,6,"İnternetten daha iyi bekliyordum.",351
53,77819,32961,606,10,"Ürünler kaliteli, ama fiyatlar yüksek.",877
31,58469,32110,725,15,"Beklediğimden daha iyi.",181
48,33845,38844,682,6,"Yine de memnun kaldım.",504
65,53290,14568,627,16,"Yeterli bir deneyim.",606
32,60699,26314,609,12,"Harika ürünler!",597
25,74252,17163,626,19,"Yine de memnun kaldım.",388
31,33293,21156,740,16,"Harika ürünler!",606
40,87089,32966,726,14,"Yeterli bir deneyim.",334
57,46608,21255,642,6,"İnternetten daha iyi bekliyordum.",445
38,96273,21320,668,9,"Ürünler kaliteli, ama fiyatlar yüksek.",508
33,46619,35073,662,22,"Güzel hizmet, ama daha iyi olabilir.",656
62,44779,12216,669,1,"Yine de memnun kaldım.",247
35,81040,35564,698,22,"Kaliteli, ama fiyat biraz yüksek.",692
64,86325,15701,670,8,"Yeterli bir deneyim.",292
41,51630,34401,692,7,"Yine de memnun kaldım.",530
43,42178,28992,742,14,"Hizmet çok iyi, teşekkürler.",137
42,49935,37051,745,8,"İnternetten daha iyi bekliyordum.",555
62,77258,39090,731,11,"Hizmet çok iyi, teşekkürler.",737
58,52784,35946,610,24,"Beklentilerimin altında.",944
46,93722,21780,733,9,"Ürünler kaliteli, ama fiyatlar yüksek.",344
32,53027,20694,721,19,"Beklentilerimin altında.",36
62,87853,14809,617,7,"Yine de memnun kaldım.",313
18,97359,32729,666,6,"Beklediğimden daha iyi.",219
42,45111,26562,744,18,"Beklediğimden daha iyi.",639
24,62312,24392,696,5,"Ürünler kaliteli, ama fiyatlar yüksek.",142
26,54161,17771,633,19,"Kaliteli, ama fiyat biraz yüksek.",403
41,97313,34355,746,11,"İnternetten daha iyi bekliyordum.",694
18,80374,11929,736,5,"Kaliteli, ama fiyat biraz yüksek.",908
61,54014,39617,643,24,"İnternetten daha iyi bekliyordum.",403
25,76389,24306,694,9,"Yeterli bir deneyim.",554
41,48161,28932,690,24,"Yine de memnun kaldım.",478
28,37490,31218,710,8,"Beklentilerimin altında.",721
68,54502,24244,670,11,"Beklediğimden daha iyi.",936
34,65757,10111,652,22,"Hizmet çok iyi, teşekkürler.",559
25,71111,21411,670,6,"Güzel hizmet, ama daha iyi olabilir.",823
52,88645,34332,652,15,"Harika ürünler!",219
52,89055,27098,707,6,"Güzel hizmet, ama daha iyi olabilir.",366
50,38998,35977,618,22,"Beklentilerimin altında.",195
22,58906,21116,665,11,"Beklentilerimin altında.",983
59,80477,32418,600,15,"İnternetten daha iyi bekliyordum.",683
56,66901,25707,705,12,"Kaliteli, ama fiyat biraz yüksek.",748
58,82021,27765,654,9,"Güzel hizmet, ama daha iyi olabilir.",968
45,59092,13127,614,10,"İnternetten daha iyi bekliyordum.",686
24,31242,23100,726,15,"İnternetten daha iyi bekliyordum.",945
26,31831,33867,614,17,"Kaliteli, ama fiyat biraz yüksek.",31
25,80721,21203,720,16,"Hizmet çok iyi, teşekkürler.",735
29,58511,11208,665,22,"Beklediğimden daha iyi.",53
51,48302,21317,713,8,"Ürünler kaliteli, ama fiyatlar yüksek.",422
50,85568,10036,736,17,"Beklediğimden daha iyi.",980
65,33232,28212,745,11,"Harika ürünler!",697
40,81507,21252,744,11,"Güzel hizmet, ama daha iyi olabilir.",233
41,40683,29725,671,6,"Beklediğimden daha iyi.",828
54,53664,17006,697,22,"Ürünler kaliteli, ama fiyatlar yüksek.",742
52,63172,25067,643,2,"Yeterli bir deneyim.",109
61,94340,34059,615,1,"Güzel hizmet, ama daha iyi olabilir.",986
57,41017,15347,677,20,"Ürünler kaliteli, ama fiyatlar yüksek.",878
39,66613,38517,651,6,"İnternetten daha iyi bekliyordum.",99
44,60348,34274,601,5,"Beklentilerimin altında.",711
52,46448,10809,660,23,"Hizmet çok iyi, teşekkürler.",210
18,39491,37648,731,22,"Harika ürünler!",732
52,88759,14118,725,22,"Ürünler kaliteli, ama fiyatlar yüksek.",402
54,74553,27910,651,9,"Beklediğimden daha iyi.",836
64,30968,38095,640,5,"Beklentilerimin altında.",149
31,30368,23083,630,18,"Beklediğimden daha iyi.",674
20,65010,26879,720,24,"Güzel hizmet, ama daha iyi olabilir.",393
18,84154,23187,650,19,"Ürünler kaliteli, ama fiyatlar yüksek.",654
22,65851,10424,694,15,"Beklediğimden daha iyi.",257
43,55496,29131,610,15,"Kaliteli, ama fiyat biraz yüksek.",244
31,60936,36641,735,9,"Yine de memnun kaldım.",149
56,97005,11982,611,14,"Beklentilerimin altında.",623
44,67493,27852,698,5,"Yeterli bir deneyim.",98
26,99795,34112,644,17,"Beklentilerimin altında.",102
32,66390,25918,633,15,"Beklediğimden daha iyi.",722
32,40292,33154,671,20,"Beklediğimden daha iyi.",11
43,58365,25398,620,17,"Harika ürünler!",892
59,47207,21992,640,24,"Kaliteli, ama fiyat biraz yüksek.",225
30,52912,11233,621,24,"Yeterli bir deneyim.",957
68,86572,19989,620,9,"Hizmet çok iyi, teşekkürler.",812
49,49276,24546,670,13,"Harika ürünler!",441
56,35534,18756,613,22,"Güzel hizmet, ama daha iyi olabilir.",147
66,65670,13019,678,13,"Yeterli bir deneyim.",178
69,92147,11304,672,5,"Ürünler kaliteli, ama fiyatlar yüksek.",6
49,66486,34418,651,14,"Yine de memnun kaldım.",151
21,95557,24144,675,7,"Harika ürünler!",834
47,64268,26516,618,5,"Yine de memnun kaldım.",581
54,56336,26832,626,12,"Kaliteli, ama fiyat biraz yüksek.",352
40,33641,32791,745,3,"Güzel hizmet, ama daha iyi olabilir.",564
56,62959,20022,612,9,"Güzel hizmet, ama daha iyi olabilir.",673
62,43306,20350,706,10,"Hizmet çok iyi, teşekkürler.",416
32,76182,21818,728,1,"Güzel hizmet, ama daha iyi olabilir.",604
60,86326,10849,684,14,"Beklediğimden daha iyi.",662
46,51498,31741,740,1,"Beklentilerimin altında.",569
53,57197,13962,708,10,"Beklentilerimin altında.",195
30,50719,36056,714,11,"Hizmet çok iyi, teşekkürler.",324
49,55032,35476,650,20,"Beklediğimden daha iyi.",481
24,89624,14854,600,2,"Beklentilerimin altında.",207
68,71964,11539,720,23,"Ürünler kaliteli, ama fiyatlar yüksek.",935
39,60028,28283,722,2,"Beklediğimden daha iyi.",302
45,84646,12944,631,23,"Kaliteli, ama fiyat biraz yüksek.",298
19,38536,31341,741,24,"İnternetten daha iyi bekliyordum.",956
59,86747,32327,692,11,"Yine de memnun kaldım.",425
62,75712,13244,667,8,"Beklediğimden daha iyi.",61
23,36273,32720,662,3,"Yine de memnun kaldım.",194
45,80830,35090,681,9,"Ürünler kaliteli, ama fiyatlar yüksek.",566
45,47127,23255,741,16,"İnternetten daha iyi bekliyordum.",362
61,41539,11591,640,16,"Yeterli bir deneyim.",560
61,76761,34337,602,10,"Hizmet çok iyi, teşekkürler.",617
37,76219,25768,693,6,"Beklediğimden daha iyi.",944
47,44692,17855,658,20,"Hizmet çok iyi, teşekkürler.",77
28,43334,34179,617,24,"Güzel hizmet, ama daha iyi olabilir.",886
45,58615,34659,703,20,"Yine de memnun kaldım.",928
42,37903,30126,673,20,"Yine de memnun kaldım.",283
56,58527,39469,719,11,"Güzel hizmet, ama daha iyi olabilir.",56
50,45629,28511,675,8,"Yeterli bir deneyim.",680
18,88008,11601,607,20,"Harika ürünler!",375
44,56708,22809,680,1,"Kaliteli, ama fiyat biraz yüksek.",375
69,40860,27606,700,6,"Beklediğimden daha iyi.",718
30,47438,15690,608,8,"Yine de memnun kaldım.",771
58,97300,22521,689,14,"Kaliteli, ama fiyat biraz yüksek.",787
20,50842,11842,647,3,"Yine de memnun kaldım.",372
56,90213,20483,714,2,"Harika ürünler!",856
23,72372,18058,686,22,"Güzel hizmet, ama daha iyi olabilir.",674
25,98906,23704,694,1,"Harika ürünler!",243
44,68744,36165,713,11,"Yine de memnun kaldım.",761
26,87442,15565,617,21,"Güzel hizmet, ama daha iyi olabilir.",820
54,33650,21088,628,6,"Harika ürünler!",38
50,75117,14488,601,8,"Yeterli bir deneyim.",308
68,82772,34584,677,7,"Güzel hizmet, ama daha iyi olabilir.",632
59,33190,39284,667,6,"Beklediğimden daha iyi.",85
61,78113,33334,697,18,"Yine de memnun kaldım.",98
41,38789,18906,716,12,"Ürünler kaliteli, ama fiyatlar yüksek.",373
32,62125,11927,709,8,"Hizmet çok iyi, teşekkürler.",757
49,47459,25512,640,24,"Yine de memnun kaldım.",494
49,65418,18301,714,21,"Beklediğimden daha iyi.",859
41,77085,31313,680,19,"Beklentilerimin altında.",905
58,48768,18457,721,24,"Kaliteli, ama fiyat biraz yüksek.",207
69,79961,15492,686,5,"Kaliteli, ama fiyat biraz yüksek.",624
66,57885,13223,621,19,"Hizmet çok iyi, teşekkürler.",982
66,91082,32511,648,9,"Yine de memnun kaldım.",82
69,36895,31455,615,12,"Hizmet çok iyi, teşekkürler.",576
29,80311,10954,667,15,"İnternetten daha iyi bekliyordum.",0
56,97067,33434,621,23,"Yine de memnun kaldım.",436
19,53932,19541,738,13,"Güzel hizmet, ama daha iyi olabilir.",685
20,51360,25007,684,24,"Güzel hizmet, ama daha iyi olabilir.",249
66,84847,11574,720,13,"İnternetten daha iyi bekliyordum.",409
54,68931,36799,679,21,"Yeterli bir deneyim.",737
66,85823,33052,654,21,"İnternetten daha iyi bekliyordum.",385
34,68032,25674,634,5,"İnternetten daha iyi bekliyordum.",795
66,48807,25426,633,2,"Hizmet çok iyi, teşekkürler.",83
19,41767,17095,672,19,"Harika ürünler!",489
19,38071,22023,676,8,"Güzel hizmet, ama daha iyi olabilir.",238
45,83413,34104,731,14,"Harika ürünler!",922
40,56149,13255,724,6,"İnternetten daha iyi bekliyordum.",539
54,45540,11058,610,7,"Yeterli bir deneyim.",379
49,49787,11957,660,14,"Güzel hizmet, ama daha iyi olabilir.",798
50,50982,33032,721,6,"Yine de memnun kaldım.",942
18,52606,14944,634,16,"Yine de memnun kaldım.",390
36,40150,15058,668,4,"Yine de memnun kaldım.",327
19,76936,37723,656,7,"Beklediğimden daha iyi.",479
61,38593,12519,738,16,"Hizmet çok iyi, teşekkürler.",970
43,47358,21845,611,4,"Beklentilerimin altında.",303
49,67381,34297,724,7,"İnternetten daha iyi bekliyordum.",281
23,58074,12570,642,21,"Beklentilerimin altında.",694
49,50595,37503,746,2,"Ürünler kaliteli, ama fiyatlar yüksek.",344
21,74194,17450,676,23,"Hizmet çok iyi, teşekkürler.",134
28,79377,30271,667,8,"Yine de memnun kaldım.",467
34,56853,17703,658,10,"Güzel hizmet, ama daha iyi olabilir.",360
55,50661,32801,601,2,"Hizmet çok iyi, teşekkürler.",568
41,80493,25898,735,6,"Beklediğimden daha iyi.",114
22,66495,24389,749,4,"Güzel hizmet, ama daha iyi olabilir.",185
69,43703,25414,620,21,"Harika ürünler!",477
51,83080,35463,700,1,"Beklediğimden daha iyi.",887
23,60815,10744,685,6,"Harika ürünler!",0
39,59565,32804,721,12,"Güzel hizmet, ama daha iyi olabilir.",849
28,93321,13514,674,14,"Yine de memnun kaldım.",967
65,88453,29314,674,15,"Beklentilerimin altında.",540
33,63161,31921,682,24,"İnternetten daha iyi bekliyordum.",743
50,85991,20871,677,18,"Hizmet çok iyi, teşekkürler.",661
26,39716,23536,620,17,"Hizmet çok iyi, teşekkürler.",991
23,63349,33097,719,9,"Yine de memnun kaldım.",423
33,77098,10175,611,15,"İnternetten daha iyi bekliyordum.",701
46,30132,26949,682,18,"Harika ürünler!",269
20,81990,13217,712,24,"Beklentilerimin altında.",759
37,98921,25106,614,21,"İnternetten daha iyi bekliyordum.",897
53,66538,23696,712,18,"Harika ürünler!",418
36,37213,30741,740,5,"İnternetten daha iyi bekliyordum.",326
43,74223,39202,723,16,"Ürünler kaliteli, ama fiyatlar yüksek.",194
20,98371,32357,740,9,"Hizmet çok iyi, teşekkürler.",892
36,98274,19586,714,22,"Ürünler kaliteli, ama fiyatlar yüksek.",254
37,34134,15802,746,3,"İnternetten daha iyi bekliyordum.",78
49,69601,17034,631,12,"Beklediğimden daha iyi.",874
24,45690,26263,698,24,"Hizmet çok iyi, teşekkürler.",97
69,31909,19412,686,14,"Beklentilerimin altında.",149
58,42062,27331,748,1,"Yine de memnun kaldım.",785
50,64731,18776,711,9,"Ürünler kaliteli, ama fiyatlar yüksek.",813
57,35153,21054,741,9,"Yine de memnun kaldım.",849
56,40481,19812,623,20,"Harika ürünler!",446
35,96425,29739,648,13,"Kaliteli, ama fiyat biraz yüksek.",122
57,93600,36925,631,8,"Beklediğimden daha iyi.",609
18,58205,31635,674,11,"Harika ürünler!",675
28,74149,29575,708,14,"Yeterli bir deneyim.",557
45,79112,32231,610,16,"Harika ürünler!",358
42,40940,21399,667,11,"Harika ürünler!",238
67,89010,24963,689,19,"Kaliteli, ama fiyat biraz yüksek.",741
40,54485,33100,709,22,"Hizmet çok iyi, teşekkürler.",804
48,31067,20768,732,10,"Beklediğimden daha iyi.",755
47,50607,10531,631,8,"Beklediğimden daha iyi.",529
59,91597,27615,670,11,"Beklentilerimin altında.",682
52,78521,36569,673,8,"Harika ürünler!",871
24,45187,28081,737,20,"Beklediğimden daha iyi.",668
33,33985,29754,698,10,"Güzel hizmet, ama daha iyi olabilir.",203
43,73052,27929,620,17,"Beklentilerimin altında.",657
65,49563,21357,639,23,"Güzel hizmet, ama daha iyi olabilir.",990
69,77322,11437,641,11,"Kaliteli, ama fiyat biraz yüksek.",142
66,91245,34946,671,12,"Güzel hizmet, ama daha iyi olabilir.",186
19,81514,30888,645,10,"Yine de memnun kaldım.",487
18,48608,15502,681,20,"İnternetten daha iyi bekliyordum.",121
65,97262,17608,672,17,"Güzel hizmet, ama daha iyi olabilir.",349
29,87225,32381,717,3,"Kaliteli, ama fiyat biraz yüksek.",99
22,47221,15566,640,7,"Yine de memnun kaldım.",283
54,78506,34170,693,3,"Kaliteli, ama fiyat biraz yüksek.",948
49,50968,18808,731,17,"Kaliteli, ama fiyat biraz yüksek.",526
26,57937,30550,698,23,"Harika ürünler!",383
58,92435,14014,741,8,"Kaliteli, ama fiyat biraz yüksek.",554
52,79508,38755,741,21,"Güzel hizmet, ama daha iyi olabilir.",800
36,71831,28640,652,22,"İnternetten daha iyi bekliyordum.",897
65,72933,30738,727,19,"Kaliteli, ama fiyat biraz yüksek.",186
33,77307,29694,628,14,"Kaliteli, ama fiyat biraz yüksek.",7
20,78340,23613,622,5,"Beklediğimden daha iyi.",623
37,73601,17399,684,19,"Yeterli bir deneyim.",544
41,58754,10931,695,13,"Ürünler kaliteli, ama fiyatlar yüksek.",418
50,73310,28713,670,18,"Yine de memnun kaldım.",913
41,99893,26777,607,23,"Yeterli bir deneyim.",89
69,78367,12465,675,11,"Yine de memnun kaldım.",495
28,43201,29661,699,23,"Ürünler kaliteli, ama fiyatlar yüksek.",660
66,32739,25623,615,12,"İnternetten daha iyi bekliyordum.",959
25,43231,31814,692,8,"Beklentilerimin altında.",923
53,72495,33386,605,12,"Ürünler kaliteli, ama fiyatlar yüksek.",723
55,51168,36505,636,1,"Hizmet çok iyi, teşekkürler.",115
57,62624,24008,694,18,"Yeterli bir deneyim.",684
37,40635,18817,660,2,"Güzel hizmet, ama daha iyi olabilir.",19
52,39964,15988,617,12,"Harika ürünler!",890
65,57785,17509,710,19,"Hizmet çok iyi, teşekkürler.",131
42,42336,32316,694,23,"Kaliteli, ama fiyat biraz yüksek.",291
52,57412,22849,615,7,"Kaliteli, ama fiyat biraz yüksek.",353
42,75591,21071,703,7,"Güzel hizmet, ama daha iyi olabilir.",236
46,91750,37742,613,1,"Güzel hizmet, ama daha iyi olabilir.",588
35,65454,24081,702,18,"Beklediğimden daha iyi.",222
63,92672,23228,667,8,"Yine de memnun kaldım.",435
35,57228,21614,629,10,"Beklediğimden daha iyi.",637
19,44429,20301,659,23,"Ürünler kaliteli, ama fiyatlar yüksek.",38
52,97808,35741,652,1,"Beklentilerimin altında.",326
33,83015,12781,663,15,"Yeterli bir deneyim.",208
58,98936,20083,613,15,"Güzel hizmet, ama daha iyi olabilir.",105
53,87378,21374,622,4,"Yine de memnun kaldım.",651
50,67310,11639,721,10,"Yeterli bir deneyim.",248
21,98827,23838,606,8,"Ürünler kaliteli, ama fiyatlar yüksek.",566
50,65256,18973,609,14,"Beklentilerimin altında.",629
31,68889,23982,701,13,"Hizmet çok iyi, teşekkürler.",861
38,81428,22884,612,21,"Beklediğimden daha iyi.",687
65,67207,20248,726,17,"Ürünler kaliteli, ama fiyatlar yüksek.",353
37,80255,20515,647,7,"Kaliteli, ama fiyat biraz yüksek.",469
25,35409,12274,604,6,"Beklediğimden daha iyi.",724
24,72438,36809,660,9,"Harika ürünler!",264
20,37869,20830,721,20,"Beklediğimden daha iyi.",651
34,86862,37863,689,20,"Ürünler kaliteli, ama fiyatlar yüksek.",976
50,55958,12480,702,8,"Güzel hizmet, ama daha iyi olabilir.",463
65,49768,37192,689,14,"Beklentilerimin altında.",836
29,56145,16799,602,20,"Ürünler kaliteli, ama fiyatlar yüksek.",850
68,56442,18547,623,3,"Güzel hizmet, ama daha iyi olabilir.",440
39,55596,24328,716,23,"Güzel hizmet, ama daha iyi olabilir.",283
39,72406,22679,697,13,"Beklediğimden daha iyi.",784
63,70524,31058,683,21,"Beklentilerimin altında.",533
47,53332,37922,718,9,"Ürünler kaliteli, ama fiyatlar yüksek.",930
55,45764,23928,641,21,"Ürünler kaliteli, ama fiyatlar yüksek.",368
55,57563,29906,747,9,"Kaliteli, ama fiyat biraz yüksek.",698
62,66370,20659,640,22,"Yine de memnun kaldım.",718
68,35062,16104,681,22,"Yeterli bir deneyim.",658
25,74645,32203,701,11,"Yine de memnun kaldım.",494
44,37244,26547,747,6,"Ürünler kaliteli, ama fiyatlar yüksek.",945
44,36372,33306,605,23,"Beklediğimden daha iyi.",153
51,94471,38210,721,12,"Hizmet çok iyi, teşekkürler.",619
38,46956,22925,624,4,"Ürünler kaliteli, ama fiyatlar yüksek.",315
47,70473,38239,640,4,"Harika ürünler!",299
50,43894,37830,602,23,"Güzel hizmet, ama daha iyi olabilir.",439
45,99586,13381,707,22,"İnternetten daha iyi bekliyordum.",994
64,46709,12064,656,17,"Ürünler kaliteli, ama fiyatlar yüksek.",810
50,45210,16589,682,7,"Harika ürünler!",150
22,79510,38841,673,6,"Harika ürünler!",969
65,68674,17447,732,20,"Yeterli bir deneyim.",405
36,47733,30368,685,8,"Beklentilerimin altında.",174
21,50080,30271,696,7,"Ürünler kaliteli, ama fiyatlar yüksek.",54
52,83412,10339,614,8,"Beklentilerimin altında.",778
66,88971,31205,687,9,"Hizmet çok iyi, teşekkürler.",310
34,69709,30165,693,1,"Beklediğimden daha iyi.",153
61,89846,29974,725,3,"İnternetten daha iyi bekliyordum.",896
45,95480,36509,699,18,"Beklediğimden daha iyi.",499
47,82960,15130,638,19,"Harika ürünler!",995
46,71152,34075,678,11,"Güzel hizmet, ama daha iyi olabilir.",500
63,57250,36221,638,16,"Güzel hizmet, ama daha iyi olabilir.",189
23,78137,38804,651,18,"Beklentilerimin altında.",505
52,76412,37263,730,6,"Beklediğimden daha iyi.",148
58,73876,33699,725,2,"Harika ürünler!",7
54,80227,17733,665,4,"Yeterli bir deneyim.",659
41,62450,23110,644,5,"Kaliteli, ama fiyat biraz yüksek.",684
46,36861,15049,621,21,"Beklediğimden daha iyi.",592
66,91914,20318,682,14,"Beklentilerimin altında.",590
63,93888,22633,737,1,"İnternetten daha iyi bekliyordum.",468
48,91293,31088,748,22,"Beklentilerimin altında.",320
52,98515,25608,616,14,"Harika ürünler!",571
50,53524,10638,666,21,"Ürünler kaliteli, ama fiyatlar yüksek.",450
69,37065,17709,606,13,"Yeterli bir deneyim.",606
38,67684,15143,700,22,"Harika ürünler!",823
49,63365,11224,635,16,"Yeterli bir deneyim.",127
40,88876,24466,666,4,"Yine de memnun kaldım.",633
50,53704,38281,676,6,"Yine de memnun kaldım.",286
20,87857,25279,686,9,"Güzel hizmet, ama daha iyi olabilir.",852
35,35622,22102,671,1,"Yeterli bir deneyim.",86
42,96201,14245,658,22,"Beklediğimden daha iyi.",893
59,62694,19741,619,17,"İnternetten daha iyi bekliyordum.",80
48,52995,31807,728,23,"Kaliteli, ama fiyat biraz yüksek.",533
20,38419,38721,708,4,"Beklentilerimin altında.",251
57,77952,32991,613,6,"Yine de memnun kaldım.",189
63,63837,17407,623,16,"Beklentilerimin altında.",823
41,78877,36081,709,7,"Beklentilerimin altında.",597
67,75687,34457,733,5,"İnternetten daha iyi bekliyordum.",483
49,67276,24790,637,9,"Harika ürünler!",378
64,64523,34536,728,24,"Beklentilerimin altında.",455
39,96055,25642,640,19,"Yeterli bir deneyim.",878
40,84615,39006,630,1,"İnternetten daha iyi bekliyordum.",7
19,40514,19567,635,8,"Yine de memnun kaldım.",317
44,77456,18859,704,20,"Ürünler kaliteli, ama fiyatlar yüksek.",333
59,37233,15768,708,23,"Beklentilerimin altında.",229
19,31102,28758,630,4,"Güzel hizmet, ama daha iyi olabilir.",663
43,96133,30474,712,23,"İnternetten daha iyi bekliyordum.",507
34,76715,27399,730,17,"Harika ürünler!",789
57,36256,10335,660,1,"Hizmet çok iyi, teşekkürler.",526
50,94800,22953,605,2,"Yine de memnun kaldım.",979
26,71548,25330,619,21,"Yine de memnun kaldım.",474
60,72367,26464,710,14,"Hizmet çok iyi, teşekkürler.",923
65,56205,12134,660,22,"Yeterli bir deneyim.",405
56,55570,36375,740,2,"Ürünler kaliteli, ama fiyatlar yüksek.",286
46,60255,26641,622,1,"Yine de memnun kaldım.",968
59,51182,39662,678,13,"Yine de memnun kaldım.",759
43,69373,10184,630,23,"Harika ürünler!",766
52,73019,33225,603,8,"Yine de memnun kaldım.",445
67,92619,26506,717,22,"İnternetten daha iyi bekliyordum.",342
42,46043,18056,665,9,"Yeterli bir deneyim.",324
41,75532,17263,743,24,"Ürünler kaliteli, ama fiyatlar yüksek.",876
30,95936,31084,714,20,"Güzel hizmet, ama daha iyi olabilir.",166
24,49239,33042,630,21,"Ürünler kaliteli, ama fiyatlar yüksek.",592
53,40416,23191,722,2,"Yeterli bir deneyim.",295
62,33412,13514,642,17,"Beklediğimden daha iyi.",580
37,54406,32017,603,6,"İnternetten daha iyi bekliyordum.",182
18,31875,16077,647,3,"Beklediğimden daha iyi.",838
25,67066,27778,743,20,"Yeterli bir deneyim.",575
63,35752,12352,688,17,"Harika ürünler!",775
33,31353,25716,725,6,"Güzel hizmet, ama daha iyi olabilir.",838
31,56986,37795,676,8,"Ürünler kaliteli, ama fiyatlar yüksek.",85
29,44691,19500,664,14,"Beklentilerimin altında.",555
